# 4, 6934
# t[s]       nu_e            nu_e_bar        nu_x            u_x_bar          
-0.462       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.460       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.458       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.456       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.454       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.452       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.450       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.448       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.446       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.444       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.442       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.440       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.438       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.436       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.434       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.432       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.430       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.428       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.426       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.424       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.423       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.421       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.419       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.417       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.415       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.413       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
