# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [MeV]   
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
6.45             1.6492425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    4.0070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
6.55             1.6873425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    4.1070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
6.65             1.7257825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    4.2070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
6.75             1.7645625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    4.3070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
6.85             1.8036825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    4.4070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
6.95             1.8431425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    4.5070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
7.05             1.8829425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    4.6070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
7.15             1.9230825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    4.7070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
7.25             1.9635625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    4.8070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
7.35             2.0043825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    4.9070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
7.45             2.0455425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    5.0070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
7.55             2.0870425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    5.1070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
7.65             2.1288825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    5.2070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
7.75             2.1710625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    5.3070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
7.85             2.2135825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    5.4070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
7.95             2.2564425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    5.5070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
