# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [m^2 MeV]
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
6.95             5.5019078E-47    2.3352419E-47    9.3435812E-48    8.1077642E-48    1.6609924E-46    4.1568854E-47    2.6093417E-47    2.1233518E-47    
7.05             5.5846235E-47    2.3699270E-47    9.4787675E-48    8.2242062E-48    1.7133470E-46    4.2908411E-47    2.6896917E-47    2.1884977E-47    
7.15             5.6673434E-47    2.4046139E-47    9.6139514E-48    8.3406448E-48    1.7665165E-46    4.4269336E-47    2.7712592E-47    2.2546265E-47    
7.25             5.7500674E-47    2.4393025E-47    9.7491330E-48    8.4570802E-48    1.8205012E-46    4.5651629E-47    2.8540441E-47    2.3217379E-47    
7.35             5.8327953E-47    2.4739928E-47    9.8843124E-48    8.5735126E-48    1.8753009E-46    4.7055290E-47    2.9380464E-47    2.3898321E-47    
7.45             5.9155271E-47    2.5086847E-47    1.0019490E-47    8.6899419E-48    1.9309157E-46    4.8480322E-47    3.0232661E-47    2.4589090E-47    
7.55             5.9982625E-47    2.5433781E-47    1.0154665E-47    8.8063684E-48    1.9873456E-46    4.9926723E-47    3.1097033E-47    2.5289687E-47    
7.65             6.0810015E-47    2.5780730E-47    1.0289838E-47    8.9227921E-48    2.0445906E-46    5.1394495E-47    3.1973579E-47    2.6000110E-47    
7.75             6.1637438E-47    2.6127693E-47    1.0425010E-47    9.0392132E-48    2.1026508E-46    5.2883639E-47    3.2862298E-47    2.6720360E-47    
7.85             6.2464894E-47    2.6474670E-47    1.0560179E-47    9.1556317E-48    2.1615260E-46    5.4394154E-47    3.3763192E-47    2.7450438E-47    
7.95             6.3292382E-47    2.6821660E-47    1.0695347E-47    9.2720477E-48    2.2212165E-46    5.5926042E-47    3.4676260E-47    2.8190342E-47    
8.05             6.4119900E-47    2.7168663E-47    1.0830513E-47    9.3884614E-48    2.2817220E-46    5.7479303E-47    3.5601502E-47    2.8940073E-47    
8.15             6.4947447E-47    2.7515678E-47    1.0965678E-47    9.5048728E-48    2.3430428E-46    5.9053937E-47    3.6538917E-47    2.9699631E-47    
8.25             6.5775022E-47    2.7862705E-47    1.1100841E-47    9.6212819E-48    2.4051787E-46    6.0649946E-47    3.7488507E-47    3.0469016E-47    
