# 4, 1000
# Nu Energy [MeV] Probability [ ]  
# t               nu_e            nu_e_bar        nu_x            nu_x_bar         
11.0500           -7.3448688E-05   -1.4175778E-02   1.0618708E+00   1.0519334E+00 
11.1500           -2.3673457E-02   4.2338856E-03   1.0846424E+00   1.0297556E+00 
11.2500           -2.1947780E-02   6.4119084E-02   1.1020174E+00   1.0653989E+00 
11.3500           -2.0826732E-02   8.1466794E-02   1.0792574E+00   1.0901238E+00 
11.4500           2.4225180E-02   2.9472648E-02   1.0771709E+00   1.0718209E+00 
11.5500           9.2225198E-02   -1.3359748E-02   1.1040555E+00   1.0682307E+00 
11.6500           9.4040326E-02   -1.4508826E-02   1.0948246E+00   1.0891867E+00 
11.7500           2.9232465E-02   -1.4953036E-02   1.0547559E+00   1.0820621E+00 
11.8500           -1.7570570E-02   -1.4177015E-02   1.0543744E+00   1.0520986E+00 
11.9500           -2.0085093E-02   2.6360430E-02   1.0952563E+00   1.0549377E+00 
12.0500           -1.9195633E-02   8.2770750E-02   1.1147901E+00   1.0862872E+00 
12.1500           -1.7418552E-02   8.7346651E-02   1.1022264E+00   1.0905967E+00 
12.2500           2.1941502E-02   3.5728182E-02   1.1022987E+00   1.0630617E+00 
12.3500           8.4364080E-02   -1.0117332E-02   1.1196414E+00   1.0539448E+00 
12.4500           1.0427275E-01   -1.7737542E-02   1.1093465E+00   1.0790184E+00 
12.5500           5.9923779E-02   -1.3932845E-02   1.0626807E+00   1.0975603E+00 
12.6500           3.3495095E-03   -1.8339086E-02   1.0321647E+00   1.0844269E+00 
12.7500           -1.6050862E-02   -7.0638115E-03   1.0560258E+00   1.0679387E+00 
12.8500           -9.1964317E-03   3.8665564E-02   1.1059559E+00   1.0785965E+00 
12.9500           -9.3956691E-03   8.7879766E-02   1.1322953E+00   1.0992849E+00 
13.0500           -1.3245257E-02   9.2928027E-02   1.1291909E+00   1.0929471E+00 
13.1500           9.1866800E-03   4.9943473E-02   1.1271999E+00   1.0594709E+00 
13.2500           5.9640259E-02   1.2653562E-03   1.1375322E+00   1.0373683E+00 
13.3500           9.7970459E-02   -1.7680847E-02   1.1343755E+00   1.0526177E+00 
13.4500           8.8377118E-02   -1.3198126E-02   1.0959418E+00   1.0874784E+00 
13.5500           4.1638873E-02   -1.1227272E-02   1.0421825E+00   1.1064567E+00 
13.6500           7.1284591E-04   -1.6847373E-02   1.0178875E+00   1.0996563E+00 
13.7500           -7.6176674E-03   -9.3923158E-03   1.0443606E+00   1.0887412E+00 
13.8500           4.3693183E-03   2.5642674E-02   1.0987461E+00   1.0942496E+00 
13.9500           9.0690207E-03   7.1963815E-02   1.1412290E+00   1.1087967E+00 
14.0500           -5.7466850E-04   9.5365277E-02   1.1544751E+00   1.1072187E+00 
14.1500           -5.1118079E-03   7.7794076E-02   1.1522490E+00   1.0781547E+00 
14.2500           1.5057567E-02   3.4327326E-02   1.1542138E+00   1.0394336E+00 
14.3500           5.4137103E-02   -2.9690025E-03   1.1599225E+00   1.0215390E+00 
14.4500           8.4150187E-02   -1.4749495E-02   1.1502789E+00   1.0386459E+00 
14.5500           8.1621887E-02   -7.6132316E-03   1.1117716E+00   1.0769508E+00 
14.6500           4.9370471E-02   -1.2286104E-03   1.0558048E+00   1.1094272E+00 
14.7500           1.2964479E-02   -5.8360018E-03   1.0132648E+00   1.1200440E+00 
14.8500           -2.5136595E-03   -1.2816051E-02   1.0103269E+00   1.1143844E+00 
14.9500           7.3052660E-03   -5.3413237E-03   1.0483037E+00   1.1094471E+00 
15.0500           2.5839269E-02   2.3259778E-02   1.1043721E+00   1.1149973E+00 
15.1500           3.2766389E-02   6.1107730E-02   1.1503256E+00   1.1242984E+00 
